SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
459;2010-10-17T01:00:00+00:00;182.08;46.62;88.32;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-17T05:00:00+00:00;504.58;65.61;286.22;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-17T09:00:00+00:00;136.85;44.47;60.23;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-17T12:00:00+00:00;68.95;36.84;20.93;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-17T22:00:00+00:00;146.59;46.23;65.44;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-18T02:00:00+00:00;54.6;21.81;21.38;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-18T03:00:00+00:00;65.76;23.55;27.52;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-18T07:00:00+00:00;451.67;66.82;250.94;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-18T16:00:00+00:00;84.77;43.81;26.7;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-18T17:00:00+00:00;70.89;40.97;19.51;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-19T01:00:00+00:00;26.61;16.95;6.3;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-19T04:00:00+00:00;95.16;44.79;32.84;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-19T06:00:00+00:00;263.44;57.05;134.57;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-19T14:00:00+00:00;121.85;50.35;46.62;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-20T06:00:00+00:00;376.33;62.72;204.48;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-20T07:00:00+00:00;479.25;72.88;264.96;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-20T11:00:00+00:00;60.5;29.58;20.16;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-20T14:00:00+00:00;60.27;36.95;15.2;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-21T03:00:00+00:00;187.51;34.85;99.54;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-21T05:00:00+00:00;261.02;43.22;142.01;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-21T06:00:00+00:00;392.33;56.1;219.24;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-22T15:00:00+00:00;64.99;31.27;21.99;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-22T19:00:00+00:00;130.41;43.45;56.7;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-22T23:00:00+00:00;49.87;25.94;15.61;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-24T01:00:00+00:00;63.04;25.89;24.22;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-24T08:00:00+00:00;142.28;40.36;66.45;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-24T09:00:00+00:00;137.56;39.94;63.65;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-24T11:00:00+00:00;85.77;35.34;32.88;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
